Produits d'importation;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Huiles et préparations de pétrole;38136,76502;69874,28618;79364,3841;67907,92528;78694,42189;88189,19475;106591,7706;144215,4404;150683,6942;188089,2993;197010,239;210187,2575;253256,3288;403485,6662;465361,5744
Autres médicaments en doses  (produits des n 30.02, 30.;11819,859;14807,72114;12973,26325;17874,86389;22032,0875;18930,18627;21171,64235;22948,38064;25368,23223;33586,13647;39554,93621;38653,12763;52607,636;50613,71715;86593,65422
Riz semi-blanchi ou blanchi, même poli ou glacé;12269,37092;7187,012233;12311,14684;13196,78641;9103,208467;12651,47826;17226,94429;16390,07011;18693,63369;24834,37618;20716,37942;13636,60454;14774,24885;25248,60096;28749,34014
Engrais minéraux ou chimiques avec azote, phosphore;11557,67563;8218,338872;11042,08706;18960,23941;20644,09855;19720,2068;14833,86715;13114,37034;9328,35416;19756,77574;13897,22332;14159,06856;23148,77851;41473,4969;47745,59363
Riz en brisures;7069,46048;6672,859398;13084,019;13033,57495;13846,63945;10361,83185;16325,13229;21396,29867;14399,70693;15458,05392;11416,86029;16377,30603;24809,42378;32707,24756;31085,7291
Motocycles à piston alternatif de + 50 à 250 cm3;4778,07124;2877,953123;4481,988834;7524,63894;12302,10354;9884,469673;9021,465255;8634,060533;12895,1594;15460,39526;17794,44542;24304,46574;30362,5873;36253,9676;34203,90119
Tabacs à fumer, même contenant des succédanés du tabac;382,625848;3209,575804;5948,703166;7175,357584;8521,496204;19098,42371;12864,36767;11601,86985;11860,53814;14752,46739;16198,82472;18244,02672;19099,00566;22239,26326;25534,81241
Autres ciments portlands;1300,240273;2060,93098;6983,394006;14441,81675;11485,01736;15147,52143;14313,58436;11565,2224;13237,88437;11800,72155;10391,58325;11435,42487;10814,55515;16346,9126;27810,11786
"Ciments non pulvérisés dits ""clinkers"", même colorés";6642,341087;2763,358866;1138,421554;1301,395596;9021,440096;5466,811424;9177,250445;12065,5884;13957,95139;17519,77067;21928,81171;20919,52409;22349,80342;30750,17802;24337,26943
Véhicules diesels de + 2500 cm3;4606,596634;2971,142288;4062,895782;5330,179365;7335,711412;5595,374566;7245,431145;8147,086853;9445,305304;11504,6411;11582,34706;11325,95571;10624,84436;12424,8243;15761,63161
Urée, même en solution aqueuse;5136,652981;323,527135;1459,031787;2066,342921;5300,516194;5098,076873;7169,058532;9868,849735;6757,618932;5279,245233;7350,803891;16458,09444;7571,081677;19467,9968;15527,50984
Butanes liquéfiés;1778,731625;2247,674395;2568,986206;2720,79019;3013,019352;4044,874947;4655,499449;7126,292726;7628,485175;11746,28391;8722,726298;10343,96802;14663,33317;26121,29303;27115,70005
Fil de section circulaire d'un diamètre inferieur à 1 mm;648,569512;1709,802259;1738,939316;1736,513013;4111,141835;3681,948167;4420,689616;4271,184626;7206,104586;12679,01553;10349,80581;12333,09511;13017,13093;18720,00056;14664,5217
Autres froment  (blé)  et méteil;3111,46521;3089,627534;3043,661081;2672,49121;1239,422948;1212,956187;1126,50047;2328,643725;9439,305366;14262,76571;11599,26429;9867,900983;13504,28002;13898,25047;17046,73797
Autres huile de palme et  fractions, non chimiquement;4768,226125;2671,998455;3190,838795;3762,84776;1938,040781;1720,394347;6675,512228;6239,290631;6821,370611;7052,349646;8761,018921;8439,042429;9772,830457;12371,44424;14357,42634
Véhicules à essence de + 1500 à 3000 cm3;2192,247363;2786,921472;3320,664292;2856,403289;4224,039666;6239,452173;3746,836939;4506,656846;5167,749436;6407,204435;7038,240648;11140,30446;10682,55156;13522,78031;17397,24365
Produits plats...zingués en fer, aciers non alliés;2238,029717;3564,530328;3549,168004;4206,69442;4554,366243;4126,420793;4158,533128;4635,255221;6590,195593;7049,5536;5014,411333;8823,14874;8561,675699;9138,422668;9635,474905
Vaccins pour la médecine humaine;1178,547759;1422,408007;2202,300267;3073,071467;3777,975713;4081,962584;5393,844739;4894,303447;6737,918427;10316,43031;9237,645035;5378,130866;8170,020451;6421,345732;9502,034704
Insecticides;8525,380055;2504,612171;2596,828532;3554,827111;4126,437544;8996,275865;8187,283121;8950,037754;8363,884575;1607,59376;0;0;0;0;0
Autres préparations alimentaires n d c a;2939,202958;3975,685153;4814,762151;5702,312138;3850,725647;3782,15488;3783,035372;4027,210997;4112,834162;7107,935167;6474,913883;5997,110481;5324,548999;8311,472695;9842,761816
Farines de froment  (blé)  ou de méteil;1214,686823;1980,099176;3754,050839;3942,484016;6392,718258;3634,708882;6800,428487;6067,756716;3761,549365;2843,401031;5469,924826;8958,596547;8275,050602;12143,93712;9783,785992
Véhicules diesels de + 1500 à 2500 cm3;2174,309781;2633,010948;3110,255492;3309,520521;3948,191819;3171,467708;3573,342721;4656,663991;4614,486672;5271,242598;4444,043906;5997,099566;8239,44906;10625,53882;7420,678317
Autres fruits à coques, frais ou secs, même décortiqués;5460,224739;3566,254352;4109,2979;3934,629137;2791,495692;3257,314795;3186,86449;3578,661801;3286,2762;2928,90045;3043,772319;3412,724641;2843,048852;720,54459;773,1146
Malt non torréfié;2192,069188;1925,554732;2650,609527;2782,775716;3846,515467;2850,32691;3129,28234;3494,781277;4516,108063;5277,502025;4725,580364;3950,559508;4943,334578;5812,036786;6800,521561
Véhicules à essence de + 1000 à 1500 cm3;3057,63364;2531,908176;2688,3665;2599,163029;3152,693512;3522,88721;2635,592839;2889,266526;2773,150635;3895,720624;7488,057955;3887,763166;4670,307891;4859,121429;6223,336565
Motocycles à piston alternatif de 50 cm3 ou moins;5892,399742;3878,068447;5514,400281;5393,468422;7089,020487;4555,102027;2925,968708;806,549529;1163,895338;2184,894196;180,231431;1108,836299;482,436307;165,989405;734,402889
Autres appareils du n 85.36 pour tension n'excédant;1085,672561;1181,941282;1175,990875;4906,338967;3540,93569;3616,719399;3303,995728;5362,56947;7772,002632;3431,753111;3419,133811;1332,336872;1944,202532;1944,446042;2582,990186
Tombereaux automoteurs à utilisation hors du réseau routier;10,305519;1,085;0;12,913496;2,8015;28,577425;2336,630892;2848,386997;284,754756;8426,742897;19644,25292;5654,860453;5307,826893;19785,48454;20807,3053
Saccharose chimiquement pur, à l'état solide;2854,603247;292,01244;2246,199929;3396,317124;6510,989388;1285,400041;3018,601162;4146,501799;4876,151885;807,223063;6339,594195;1283,617941;11174,77096;14050,08469;22341,35901
